Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
CLOPIDOGREL,MYOCARDIAL INFARCTION,167,294,36.23,63.77,98.2,88.78,"['NCT02233790', 'NCT00684203', 'NCT00623623', 'NCT04688723', 'NCT02018055', 'NCT06318481', 'NCT00121446', 'NCT01158846', 'NCT05744804', 'NCT02123004', 'NCT03729401', 'NCT00662467', 'NCT01572129', 'NCT01636180', 'NCT00781573', 'NCT02224274', 'NCT01950416', 'NCT00372216', 'NCT01327534', 'NCT02663713', 'NCT01586975', 'NCT01823185', 'NCT02048085', 'NCT02298088', 'NCT03161678', 'NCT02429271', 'NCT04174261', 'NCT02317198', 'NCT02931045', 'NCT01235351', 'NCT03207451', 'NCT00915733', 'NCT00557921', 'NCT02032290', 'NCT02617290', 'NCT02548650', 'NCT05210595', 'NCT02037412', 'NCT04407312', 'NCT00914368', 'NCT00976092', 'NCT02777580', 'NCT02893280', 'NCT00305162', 'NCT01930591', 'NCT02640794', 'NCT00222573', 'NCT03062826', 'NCT03613857', 'NCT02446730', 'NCT00882739', 'NCT02224534', 'NCT00821834', 'NCT05122741', 'NCT02026219', 'NCT01738100', 'NCT04654052', 'NCT01381185', 'NCT00257309', 'NCT01338909', 'NCT05577988', 'NCT02247128', 'NCT01559298', 'NCT01495845']"
METOPROLOL,MYOCARDIAL INFARCTION,20,261,7.12,92.88,95,99.62,"['NCT03579914', 'NCT03278509', 'NCT01523054', 'NCT00222573', 'NCT01311700', 'NCT03778554']"
TENECTEPLASE,MYOCARDIAL INFARCTION,57,37,60.64,39.36,98.25,97.3,"['NCT00623623', 'NCT00604695', 'NCT02301910', 'NCT00121446', 'NCT02182011', 'NCT02181998', 'NCT00168792', 'NCT02777580', 'NCT00257309']"
LIPITOR 20MG TABLETS,MYOCARDIAL INFARCTION,14,8,63.64,36.36,100,100,[]
ASPIRIN,MYOCARDIAL INFARCTION,332,424,43.92,56.08,98.8,92.92,"['NCT00000479', 'NCT00697021', 'NCT00684203', 'NCT00041938', 'NCT02018055', 'NCT05986968', 'NCT03729401', 'NCT00662467', 'NCT00000491', 'NCT05709626', 'NCT04753749', 'NCT01586975', 'NCT01739556', 'NCT05419583', 'NCT00501345', 'NCT03207451', 'NCT00915733', 'NCT02545933', 'NCT00557921', 'NCT02548650', 'NCT01321255', 'NCT04407312', 'NCT04097912', 'NCT04754789', 'NCT02893280', 'NCT05476991', 'NCT06254391', 'NCT02640794', 'NCT02531165', 'NCT03062826', 'NCT02635230', 'NCT03228017', 'NCT05122741', 'NCT00646906', 'NCT00272337', 'NCT01381185', 'NCT05709509', 'NCT02929888', 'NCT05577988', 'NCT02247128', 'NCT01559298', 'NCT04570345']"
RAMIPRIL,MYOCARDIAL INFARCTION,6,8,42.86,57.14,100,100,"['NCT02924727', 'NCT00702936', 'NCT01321255', 'NCT03715998']"
"HEPARIN, COMBINATIONS",MYOCARDIAL INFARCTION,21,19,52.5,47.5,100,100,[]
LIPITOR 40MG TABLETS,MYOCARDIAL INFARCTION,0,18,0,100,-1,100,[]
"ATORVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL",MYOCARDIAL INFARCTION,30,174,14.71,85.29,90,95.4,[]
DILTIAZEM,MYOCARDIAL INFARCTION,12,0,100,0,50,-1,['NCT00712894']
PRASUGREL,MYOCARDIAL INFARCTION,3,29,9.38,90.62,0,93.1,"['NCT02032303', 'NCT01158846', 'NCT02808767', 'NCT03387826', 'NCT01327534', 'NCT01805570', 'NCT01823185', 'NCT02422888', 'NCT01510171', 'NCT02317198', 'NCT02545933', 'NCT01531114', 'NCT02978040', 'NCT00976092', 'NCT01336348', 'NCT02075125', 'NCT03454841', 'NCT05779059', 'NCT05491200', 'NCT01338909', 'NCT03435133']"
ATORVASTATIN,MYOCARDIAL INFARCTION,264,133,66.5,33.5,96.97,96.99,"['NCT05895123', 'NCT01543555', 'NCT00286312', 'NCT03047772', 'NCT03750760', 'NCT04945122', 'NCT00979758', 'NCT00967434', 'NCT00808717', 'NCT00772564', 'NCT04974814', 'NCT02286544', 'NCT04754789', 'NCT01997294', 'NCT01050348', 'NCT01372839', 'NCT04347434', 'NCT03228017', 'NCT01073800', 'NCT01761656', 'NCT01334671', 'NCT01293097', 'NCT02590653', 'NCT00536887']"
EPTIFIBATIDE,MYOCARDIAL INFARCTION,5,10,33.33,66.67,100,100,"['NCT00111566', 'NCT01863134', 'NCT01522417', 'NCT00945308', 'NCT00251823', 'NCT00719914']"
ABCIXIMAB,MYOCARDIAL INFARCTION,24,10,70.59,29.41,100,100,"['NCT00976521', 'NCT00638638', 'NCT00894023', 'NCT00440895', 'NCT01158846', 'NCT00712101', 'NCT02181985', 'NCT01499407', 'NCT00440778', 'NCT00046228', 'NCT00299377', 'NCT00373451', 'NCT01080638', 'NCT00986050', 'NCT00133250', 'NCT00320229', 'NCT01757457', 'NCT03087539', 'NCT00260416', 'NCT00383136', 'NCT00354406', 'NCT02105870', 'NCT00229515', 'NCT00927615']"
TICAGRELOR,MYOCARDIAL INFARCTION,114,194,37.01,62.99,95.61,92.27,"['NCT04739384', 'NCT02233790', 'NCT02032303', 'NCT04688723', 'NCT02018055', 'NCT01575795', 'NCT06318481', 'NCT05986968', 'NCT02123004', 'NCT03729401', 'NCT02808767', 'NCT02012140', 'NCT01347580', 'NCT05149560', 'NCT04001374', 'NCT02224274', 'NCT03387826', 'NCT02406248', 'NCT01950416', 'NCT02733341', 'NCT02663713', 'NCT01805570', 'NCT02402400', 'NCT01823185', 'NCT02048085', 'NCT01739556', 'NCT02422888', 'NCT02298088', 'NCT03161678', 'NCT02429271', 'NCT01510171', 'NCT04174261', 'NCT02317198', 'NCT02931045', 'NCT02292277', 'NCT02545933', 'NCT03551964', 'NCT02032290', 'NCT02617290', 'NCT02627950', 'NCT03182855', 'NCT01531114', 'NCT05116995', 'NCT05210595', 'NCT02037412', 'NCT02602444', 'NCT01225562', 'NCT05476991', 'NCT01930591', 'NCT03145194', 'NCT02531165', 'NCT03062826', 'NCT03613857', 'NCT02075125', 'NCT02046486', 'NCT04267224', 'NCT02224534', 'NCT03454841', 'NCT02026219', 'NCT02725099', 'NCT05779059', 'NCT03251859', 'NCT01738100', 'NCT02217878', 'NCT04570345', 'NCT03822377', 'NCT03435133', 'NCT04755387']"
AMIODARONE,MYOCARDIAL INFARCTION,0,20,0,100,-1,100,['NCT00000464']
APOCLOPIDOGREL,MYOCARDIAL INFARCTION,3,21,12.5,87.5,0,76.19,[]
ROSUVASTATIN AND ACETYLSALICYLIC ACID,MYOCARDIAL INFARCTION,35,61,36.46,63.54,94.29,86.89,[]
PRADAX,MYOCARDIAL INFARCTION,0,13,0,100,-1,100,[]
ENOXAPARIN,MYOCARDIAL INFARCTION,25,19,56.82,43.18,100,100,"['NCT00043784', 'NCT00623623', 'NCT00121446', 'NCT01356992', 'NCT03664180', 'NCT03363035', 'NCT02181985', 'NCT00321009', 'NCT02181998', 'NCT03568838', 'NCT00077792', 'NCT02893280', 'NCT00882635']"
APOMETOPROLOL,MYOCARDIAL INFARCTION,3,47,6,94,33.33,97.87,[]
BISOPROLOL AND ACETYLSALICYLIC ACID,MYOCARDIAL INFARCTION,42,64,39.62,60.38,100,98.44,[]
HYDROCHLOROTHIAZIDE / TELMISARTAN,MYOCARDIAL INFARCTION,0,207,0,100,-1,100,[]
APORAMIPRIL,MYOCARDIAL INFARCTION,0,13,0,100,-1,53.85,[]
MYLANNITRO PATCH 0.4 0.4MG/HOUR RATED RELEASE IN VIVO,MYOCARDIAL INFARCTION,11,2,84.62,15.38,63.64,0,[]
APOATORVASTATIN,MYOCARDIAL INFARCTION,11,13,45.83,54.17,100,53.85,[]
APOTELMISARTAN,MYOCARDIAL INFARCTION,0,36,0,100,-1,100,[]
NITROGLYCERIN,MYOCARDIAL INFARCTION,19,35,35.19,64.81,94.74,94.29,"['NCT00712894', 'NCT03296670', 'NCT00000503', 'NCT03252665']"
ROSUVASTATIN,MYOCARDIAL INFARCTION,8,9,47.06,52.94,100,100,"['NCT05895123', 'NCT01203982', 'NCT04499859', 'NCT01923077', 'NCT04974814', 'NCT01382472', 'NCT03526367', 'NCT01245894', 'NCT05613426']"
PRADAXA KNOWN AS PRADAX,MYOCARDIAL INFARCTION,0,29,0,100,-1,100,[]
AUROCARVEDILOL,MYOCARDIAL INFARCTION,15,0,100,0,0,-1,[]
PERINDOPRIL ERBUMINE,MYOCARDIAL INFARCTION,0,18,0,100,-1,100,[]
FONDAPARINUX,MYOCARDIAL INFARCTION,7,24,22.58,77.42,100,100,['NCT00060554']
METOPROLOL TARTRATE,MYOCARDIAL INFARCTION,11,0,100,0,100,-1,['NCT01311700']
DALTEPARIN,MYOCARDIAL INFARCTION,2,18,10,90,100,94.44,['NCT00435487']
PRAVASTATIN AND FENOFIBRATE,MYOCARDIAL INFARCTION,0,28,0,100,-1,75,[]
MINTBISOPROLOL,MYOCARDIAL INFARCTION,0,16,0,100,-1,100,[]
