Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers,Num Studies,Total females in studies,Total males in studies,Female proportion in studies,Male proportion in studies,Most relevant studies,Number of participants in most relevant studies,Number of female participants in most relevant studies,Number of male participants in most relevant studies,Proportion of females in most relevant studies,Proportion of males in most relevant studies,Prevalence Men,Prevalence Women,Prevalence Both Genders
CLOPIDOGREL,MYOCARDIAL INFARCTION,167,294,36.23,63.77,98.2,88.78,"['NCT02233790', 'NCT00684203', 'NCT00623623', 'NCT04688723', 'NCT02018055', 'NCT06318481', 'NCT00121446', 'NCT01158846', 'NCT05744804', 'NCT02123004', 'NCT03729401', 'NCT00662467', 'NCT01572129', 'NCT01636180', 'NCT00781573', 'NCT02224274', 'NCT01950416', 'NCT00372216', 'NCT01327534', 'NCT02663713', 'NCT01586975', 'NCT01823185', 'NCT02048085', 'NCT02298088', 'NCT03161678', 'NCT02429271', 'NCT04174261', 'NCT02317198', 'NCT02931045', 'NCT01235351', 'NCT03207451', 'NCT00915733', 'NCT00557921', 'NCT02032290', 'NCT02617290', 'NCT02548650', 'NCT05210595', 'NCT02037412', 'NCT04407312', 'NCT00914368', 'NCT00976092', 'NCT02777580', 'NCT02893280', 'NCT00305162', 'NCT01930591', 'NCT02640794', 'NCT00222573', 'NCT03062826', 'NCT03613857', 'NCT02446730', 'NCT00882739', 'NCT02224534', 'NCT00821834', 'NCT05122741', 'NCT02026219', 'NCT01738100', 'NCT04654052', 'NCT01381185', 'NCT00257309', 'NCT01338909', 'NCT05577988', 'NCT02247128', 'NCT01559298', 'NCT01495845']",64.0,10918.0,30130.0,26.6,73.4,"['NCT00305162', 'NCT00257309', 'NCT00623623']",39302,10378,28924,26.405780876291285,73.59421912370871,2.6704545454545454,1.0350000000000001,1.8095454545454546
TENECTEPLASE,MYOCARDIAL INFARCTION,57,37,60.64,39.36,98.25,97.3,"['NCT00623623', 'NCT00604695', 'NCT02301910', 'NCT00121446', 'NCT02182011', 'NCT02181998', 'NCT00168792', 'NCT02777580', 'NCT00257309']",9.0,838.0,3116.0,21.19,78.81,"['NCT00257309', 'NCT00623623', 'NCT00604695']",21628,5608,16020,25.92935084150176,74.07064915849824,2.6704545454545454,1.0350000000000001,1.8095454545454546
ASPIRIN,MYOCARDIAL INFARCTION,332,424,43.92,56.08,98.8,92.92,"['NCT00000479', 'NCT00697021', 'NCT00684203', 'NCT00041938', 'NCT02018055', 'NCT05986968', 'NCT03729401', 'NCT00662467', 'NCT00000491', 'NCT05709626', 'NCT04753749', 'NCT01586975', 'NCT01739556', 'NCT05419583', 'NCT00501345', 'NCT03207451', 'NCT00915733', 'NCT02545933', 'NCT00557921', 'NCT02548650', 'NCT01321255', 'NCT04407312', 'NCT04097912', 'NCT04754789', 'NCT02893280', 'NCT05476991', 'NCT06254391', 'NCT02640794', 'NCT02531165', 'NCT03062826', 'NCT02635230', 'NCT03228017', 'NCT05122741', 'NCT00646906', 'NCT00272337', 'NCT01381185', 'NCT05709509', 'NCT02929888', 'NCT05577988', 'NCT02247128', 'NCT01559298', 'NCT04570345']",42.0,80264.0,993.0,98.78,1.22,"['NCT00000479', 'NCT02545933', 'NCT00684203']",80246,79888,358,99.55387184407944,0.4461281559205443,2.6704545454545454,1.0350000000000001,1.8095454545454546
RAMIPRIL,MYOCARDIAL INFARCTION,6,8,42.86,57.14,100.0,100.0,"['NCT02924727', 'NCT00702936', 'NCT01321255', 'NCT03715998']",4.0,2836.0,8944.0,24.07,75.93,"['NCT02924727', 'NCT03715998']",11780,2836,8944,24.07470288624788,75.92529711375212,2.6704545454545454,1.0350000000000001,1.8095454545454546
PRASUGREL,MYOCARDIAL INFARCTION,3,29,9.38,90.62,0.0,93.1,"['NCT02032303', 'NCT01158846', 'NCT02808767', 'NCT03387826', 'NCT01327534', 'NCT01805570', 'NCT01823185', 'NCT02422888', 'NCT01510171', 'NCT02317198', 'NCT02545933', 'NCT01531114', 'NCT02978040', 'NCT00976092', 'NCT01336348', 'NCT02075125', 'NCT03454841', 'NCT05779059', 'NCT05491200', 'NCT01338909', 'NCT03435133']",21.0,86.0,252.0,25.44,74.56,"['NCT02545933', 'NCT02075125']",338,86,252,25.44378698224852,74.55621301775149,2.6704545454545454,1.0350000000000001,1.8095454545454546
ATORVASTATIN,MYOCARDIAL INFARCTION,264,133,66.5,33.5,96.97,96.99,"['NCT05895123', 'NCT01543555', 'NCT00286312', 'NCT03047772', 'NCT03750760', 'NCT04945122', 'NCT00979758', 'NCT00967434', 'NCT00808717', 'NCT00772564', 'NCT04974814', 'NCT02286544', 'NCT04754789', 'NCT01997294', 'NCT01050348', 'NCT01372839', 'NCT04347434', 'NCT03228017', 'NCT01073800', 'NCT01761656', 'NCT01334671', 'NCT01293097', 'NCT02590653', 'NCT00536887']",24.0,62.0,64.0,49.21,50.79,['NCT03228017'],126,62,64,49.2063492063492,50.79365079365079,2.6704545454545454,1.0350000000000001,1.8095454545454546
EPTIFIBATIDE,MYOCARDIAL INFARCTION,5,10,33.33,66.67,100.0,100.0,"['NCT00111566', 'NCT01863134', 'NCT01522417', 'NCT00945308', 'NCT00251823', 'NCT00719914']",6.0,398.0,986.0,28.76,71.24,"['NCT01522417', 'NCT01863134', 'NCT00719914']",1384,398,986,28.757225433526013,71.24277456647398,2.6704545454545454,1.0350000000000001,1.8095454545454546
ABCIXIMAB,MYOCARDIAL INFARCTION,24,10,70.59,29.41,100.0,100.0,"['NCT00976521', 'NCT00638638', 'NCT00894023', 'NCT00440895', 'NCT01158846', 'NCT00712101', 'NCT02181985', 'NCT01499407', 'NCT00440778', 'NCT00046228', 'NCT00299377', 'NCT00373451', 'NCT01080638', 'NCT00986050', 'NCT00133250', 'NCT00320229', 'NCT01757457', 'NCT03087539', 'NCT00260416', 'NCT00383136', 'NCT00354406', 'NCT02105870', 'NCT00229515', 'NCT00927615']",24.0,1520.0,4288.0,26.17,73.83,"['NCT00046228', 'NCT00976521']",5808,1520,4288,26.170798898071624,73.82920110192838,2.6704545454545454,1.0350000000000001,1.8095454545454546
TICAGRELOR,MYOCARDIAL INFARCTION,114,194,37.01,62.99,95.61,92.27,"['NCT04739384', 'NCT02233790', 'NCT02032303', 'NCT04688723', 'NCT02018055', 'NCT01575795', 'NCT06318481', 'NCT05986968', 'NCT02123004', 'NCT03729401', 'NCT02808767', 'NCT02012140', 'NCT01347580', 'NCT05149560', 'NCT04001374', 'NCT02224274', 'NCT03387826', 'NCT02406248', 'NCT01950416', 'NCT02733341', 'NCT02663713', 'NCT01805570', 'NCT02402400', 'NCT01823185', 'NCT02048085', 'NCT01739556', 'NCT02422888', 'NCT02298088', 'NCT03161678', 'NCT02429271', 'NCT01510171', 'NCT04174261', 'NCT02317198', 'NCT02931045', 'NCT02292277', 'NCT02545933', 'NCT03551964', 'NCT02032290', 'NCT02617290', 'NCT02627950', 'NCT03182855', 'NCT01531114', 'NCT05116995', 'NCT05210595', 'NCT02037412', 'NCT02602444', 'NCT01225562', 'NCT05476991', 'NCT01930591', 'NCT03145194', 'NCT02531165', 'NCT03062826', 'NCT03613857', 'NCT02075125', 'NCT02046486', 'NCT04267224', 'NCT02224534', 'NCT03454841', 'NCT02026219', 'NCT02725099', 'NCT05779059', 'NCT03251859', 'NCT01738100', 'NCT02217878', 'NCT04570345', 'NCT03822377', 'NCT03435133', 'NCT04755387']",68.0,11184.0,36080.0,23.66,76.34,"['NCT01225562', 'NCT01347580', 'NCT02545933']",46308,10936,35372,23.615789928306125,76.38421007169389,2.6704545454545454,1.0350000000000001,1.8095454545454546
ENOXAPARIN,MYOCARDIAL INFARCTION,25,19,56.82,43.18,100.0,100.0,"['NCT00043784', 'NCT00623623', 'NCT00121446', 'NCT01356992', 'NCT03664180', 'NCT03363035', 'NCT02181985', 'NCT00321009', 'NCT02181998', 'NCT03568838', 'NCT00077792', 'NCT02893280', 'NCT00882635']",13.0,806.0,2988.0,21.24,78.76,['NCT00623623'],3794,806,2988,21.244069583552974,78.75593041644701,2.6704545454545454,1.0350000000000001,1.8095454545454546
ASPIRIN                            ,MYOCARDIAL INFARCTION,30,5,85.71,14.29,100.0,0.0,"['NCT00000479', 'NCT00697021', 'NCT00684203', 'NCT00041938', 'NCT02018055', 'NCT05986968', 'NCT03729401', 'NCT00662467', 'NCT00000491', 'NCT05709626', 'NCT04753749', 'NCT01586975', 'NCT01739556', 'NCT05419583', 'NCT00501345', 'NCT03207451', 'NCT00915733', 'NCT02545933', 'NCT00557921', 'NCT02548650', 'NCT01321255', 'NCT04407312', 'NCT04097912', 'NCT04754789', 'NCT02893280', 'NCT05476991', 'NCT06254391', 'NCT02640794', 'NCT02531165', 'NCT03062826', 'NCT02635230', 'NCT03228017', 'NCT05122741', 'NCT00646906', 'NCT00272337', 'NCT01381185', 'NCT05709509', 'NCT02929888', 'NCT05577988', 'NCT02247128', 'NCT01559298', 'NCT04570345']",42.0,80264.0,993.0,98.78,1.22,"['NCT00000479', 'NCT02545933', 'NCT00684203']",80246,79888,358,99.55387184407944,0.4461281559205443,2.6704545454545454,1.0350000000000001,1.8095454545454546
VALSARTAN,MYOCARDIAL INFARCTION,0,19,0.0,100.0,-1.0,100.0,"['NCT02924727', 'NCT01340326', 'NCT03893435', 'NCT05060588', 'NCT04342351', 'NCT04149990', 'NCT04637555', 'NCT03309618']",8.0,2726.0,8596.0,24.08,75.92,['NCT02924727'],11322,2726,8596,24.077018194665254,75.92298180533474,2.6704545454545454,1.0350000000000001,1.8095454545454546
FUROSEMIDE,HEART FAILURE,928,1483,38.49,61.51,96.77,99.12,"['NCT03746002', 'NCT05093621', 'NCT01817803', 'NCT05904808', 'NCT05962255', 'NCT00924014', 'NCT02877095', 'NCT02183792', 'NCT00937092', 'NCT03901729', 'NCT06442280', 'NCT04235062', 'NCT05986773', 'NCT02804282', 'NCT00115726', 'NCT02047422', 'NCT05652322', 'NCT00664222', 'NCT02767024', 'NCT03296813', 'NCT06218199', 'NCT00409942', 'NCT03837470', 'NCT02068937', 'NCT01942109', 'NCT01901809', 'NCT06167707', 'NCT00904488', 'NCT01060293', 'NCT03730961', 'NCT03359161', 'NCT04533997', 'NCT06273397', 'NCT04384653', 'NCT00982423', 'NCT05594823', 'NCT06036914', 'NCT01125514', 'NCT00663195', 'NCT06362668', 'NCT00355667', 'NCT06024889', 'NCT02689180', 'NCT00372762', 'NCT01558674', 'NCT02579057', 'NCT05379257', 'NCT03892148', 'NCT04628325', 'NCT02350725', 'NCT02804035', 'NCT00577135', 'NCT01549158', 'NCT02329834', 'NCT05276219', 'NCT03170219', 'NCT05840536', 'NCT06203236', 'NCT01140399', 'NCT02638142', 'NCT01028170', 'NCT00652652', 'NCT05419115', 'NCT02721511', 'NCT04464811', 'NCT02546583', 'NCT01441245', 'NCT01457053', 'NCT04691687']",69.0,551.0,961.0,36.44,63.56,"['NCT00577135', 'NCT01901809', 'NCT01441245']",910,340,570,37.362637362637365,62.63736263736264,4.002727272727273,2.9054545454545457,3.4131818181818185
DIGOXIN,HEART FAILURE,80,219,26.76,73.24,98.75,98.17,"['NCT02046044', 'NCT03783429', 'NCT04308031', 'NCT01398371', 'NCT02797145', 'NCT04778787', 'NCT01005602', 'NCT06240403', 'NCT01181414', 'NCT02544815', 'NCT01796093']",11.0,126.0,136.0,48.09,51.91,['NCT01005602'],262,126,136,48.09160305343512,51.908396946564885,4.002727272727273,2.9054545454545457,3.4131818181818185
METOPROLOL,HEART FAILURE,39,282,12.15,87.85,94.87,99.65,"['NCT04434664', 'NCT00123903', 'NCT03579914', 'NCT03882710', 'NCT00391846', 'NCT06039540', 'NCT00292162', 'NCT00384566', 'NCT00214318', 'NCT02012075', 'NCT05745337', 'NCT06035978', 'NCT00885651', 'NCT00433043', 'NCT04996550', 'NCT02938260', 'NCT03830957', 'NCT00077948', 'NCT01434134']",19.0,162.0,424.0,27.65,72.35,"['NCT00391846', 'NCT00292162']",586,162,424,27.64505119453925,72.35494880546075,4.002727272727273,2.9054545454545457,3.4131818181818185
